"TIME","GEO","CURRENCY","BOP_ITEM","SECTOR10","SECTPART","STK_FLOW","PARTNER","Value","Flag and Footnotes"
"1993","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","47,673.0",""
"2000","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","16,255.0",""
"2001","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","24,223.0",""
"2002","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","18,231.0",""
"2003","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","13,628.0",""
"2004","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,079.0",""
"2005","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,836.0",""
"2006","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","4,680.0",""
"2007","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,979.0",""
"2008","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-13,874.0",""
"2009","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,652.0",""
"2010","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-12,547.0",""
"2011","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-17,690.0",""
"2012","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-20,151.0",""
"2013","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,797.0",""
"2014","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-20,553.0",""
"2015","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-8,090.0",""
"2016","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,868.0",""
"2017","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-17,613.0",""
"2018","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-19,645.0",""
"2019","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,085.0",""
"2020","France","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-43,738.0",""
"1989","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-358.8",""
"2001","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-578.3",""
"2002","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,830.8",""
"2003","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,807.1",""
"2004","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,027.4",""
"2005","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,674.5",""
"2006","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,178.2",""
"2007","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,479.8",""
"2008","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,128.8",""
"2009","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,021.5",""
"2010","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,001.1",""
"2011","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-825.0",""
"2012","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-812.2",""
"2013","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-453.6",""
"2014","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","147.2",""
"2015","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,507.0",""
"2016","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,077.8",""
"2017","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,745.5",""
"2018","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","975.5",""
"2019","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,676.7",""
"2020","Croatia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-47.4",""
"1989","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","19,047.0",""
"1996","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","29,397.0",""
"1997","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","28,432.0",""
"1998","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","18,838.0",""
"1999","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,416.0",""
"2000","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,388.0",""
"2001","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,016.0",""
"2002","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,724.0",""
"2003","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,979.0",""
"2004","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,000.0",""
"2005","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-13,193.0",""
"2006","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-22,914.0",""
"2007","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-22,083.0",""
"2008","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-45,767.0",""
"2009","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-29,732.0",""
"2010","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-53,090.0",""
"2011","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-46,575.0",""
"2012","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,746.0",""
"2013","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","17,963.0",""
"2014","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","30,859.0",""
"2015","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","23,761.0",""
"2016","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","44,175.0",""
"2017","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","44,924.0",""
"2018","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","44,760.0",""
"2019","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","57,913.0",""
"2020","Italy","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","62,085.0",""
"1989","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-498.0",""
"2005","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-652.0",""
"2006","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,063.0",""
"2007","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,804.0",""
"2008","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,802.0",""
"2009","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,249.0",""
"2010","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,083.0",""
"2011","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-459.0",""
"2012","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-752.0",""
"2013","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-266.0",""
"2014","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-710.0",""
"2015","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-79.0",""
"2016","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-795.0",""
"2017","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,025.0",""
"2018","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-858.0",""
"2019","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,308.0",""
"2020","Cyprus","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,177.0",""
"1989","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-324.0",""
"2001","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-559.0",""
"2002","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-544.0",""
"2003","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-744.0",""
"2004","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,358.0",""
"2005","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,610.0",""
"2006","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,572.0",""
"2007","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,691.0",""
"2008","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,007.0",""
"2009","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,455.0",""
"2010","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","307.0",""
"2011","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-673.0",""
"2012","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-817.0",""
"2013","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-635.0",""
"2014","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-383.0",""
"2015","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-145.0",""
"2016","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","402.0",""
"2017","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","338.0",""
"2018","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-60.0",""
"2019","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-203.0",""
"2020","Latvia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","845.0",""
"1989","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-470.0",""
"1996","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-614.5",""
"1997","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-959.0",""
"1998","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,323.6",""
"1999","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,157.2",""
"2000","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-590.2",""
"2001","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-513.7",""
"2002","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-607.6",""
"2003","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-944.5",""
"2004","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,427.6",""
"2005","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,549.9",""
"2006","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,554.4",""
"2007","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,447.3",""
"2008","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,320.1",""
"2009","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","547.9",""
"2010","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","60.8",""
"2011","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,149.6",""
"2012","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-525.0",""
"2013","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","590.5",""
"2014","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,267.0",""
"2015","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-909.2",""
"2016","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-416.3",""
"2017","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","231.1",""
"2018","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","132.1",""
"2019","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,702.4",""
"2020","Lithuania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,633.0",""
"1989","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,903.0",""
"2003","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,874.0",""
"2004","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,992.0",""
"2005","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,101.0",""
"2006","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,272.0",""
"2007","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,461.0",""
"2008","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,450.0",""
"2009","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,259.0",""
"2010","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,447.0",""
"2011","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,502.0",""
"2012","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,464.0",""
"2013","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,496.0",""
"2014","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,546.0",""
"2015","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,618.0",""
"2016","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,678.0",""
"2017","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,755.0",""
"2018","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,825.0",""
"2019","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,859.0",""
"2020","Luxembourg","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,751.0",""
"1989","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,324.8",""
"1996","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,458.1",""
"1997","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,861.9",""
"1998","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,325.0",""
"1999","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,842.7",""
"2000","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,539.1",""
"2001","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,664.3",""
"2002","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,580.1",""
"2003","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,210.5",""
"2004","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,626.9",""
"2005","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,535.6",""
"2006","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,713.8",""
"2007","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,433.3",""
"2008","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,640.2",""
"2009","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-665.0",""
"2010","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","289.5",""
"2011","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","625.1",""
"2012","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,580.4",""
"2013","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,523.4",""
"2014","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,231.6",""
"2015","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,620.4",""
"2016","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,257.3",""
"2017","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,504.9",""
"2018","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","287.7",""
"2019","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-996.5",""
"2020","Hungary","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,055.3",""
"1989","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-218.4",""
"2005","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-414.5",""
"2006","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-318.5",""
"2007","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-171.3",""
"2008","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-144.0",""
"2009","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-523.1",""
"2010","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-414.5",""
"2011","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-139.1",""
"2012","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-29.4",""
"2013","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9.8",""
"2014","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","493.6",""
"2015","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","269.8",""
"2016","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-59.8",""
"2017","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","699.4",""
"2018","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","831.9",""
"2019","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","756.6",""
"2020","Malta","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-382.6",""
"1989","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","40,231.0",""
"2005","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","38,892.0",""
"2006","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","53,164.0",""
"2007","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","42,714.0",""
"2008","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","32,216.0",""
"2009","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","33,816.0",""
